rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,True_count,True_percentage,False_count,False_percentage
201,145,18.7099,0.3256891361285069,5.814805529652409,16.30511387815778,0,10,10.0,100.0,,
202,124,18.692200000000003,0.37251659095525963,5.710602586267397,16.41261952388873,0,10,10.0,100.0,,
203,232,18.643700000000003,0.35238682036314517,5.424749001714197,15.818023121637614,0,10,10.0,100.0,,
204,109,18.6404,0.34860506526388096,5.838118424735015,16.649547643720723,0,10,10.0,100.0,,
205,14,18.505200000000002,0.3540669153745196,5.589314926390682,16.172477017688745,0,10,10.0,100.0,,
206,117,18.266399999999997,0.37644293731996037,6.650539490153195,18.16520049052307,0,10,10.0,100.0,,
207,141,18.1762,0.3543508358581728,5.442718369923583,15.884163122992087,0,10,10.0,100.0,,
208,59,18.137700000000002,0.3228677161663006,5.753876291042629,16.390756537162723,0,10,10.0,100.0,,
209,49,18.112499999999997,0.42834056545850735,7.403320803713529,19.69862651223361,0,10,10.0,100.0,,
210,88,17.995499999999996,0.3566852765470505,5.750081052960044,16.45207365237936,0,10,10.0,100.0,,
211,162,17.917900000000003,0.3272226214441253,5.463195004257457,15.91780435986885,0,10,10.0,100.0,,
212,199,16.7076,0.3730511496021217,5.373039168590578,15.638063241987705,0,10,10.0,100.0,,
213,136,16.7072,0.37572330005303295,6.089981780891483,17.161691571428538,0,10,10.0,100.0,,
214,133,16.568400000000004,0.39197843468027777,5.769799164607763,16.478602517779652,0,10,10.0,100.0,,
215,129,16.4769,0.39670493404955487,6.439601802078469,17.702077003362024,0,10,10.0,100.0,,
216,25,16.4475,0.4011316854733912,6.553205699010578,17.929284797226238,0,10,10.0,100.0,,
217,80,16.1938,0.37900669883658855,5.634305180160706,16.20062739049237,0,10,10.0,100.0,,
218,57,16.182399999999998,0.377852972253665,5.828327163626533,16.650501492160448,0,10,10.0,100.0,,
219,121,15.994299999999999,0.39133013258612415,5.632032605097305,16.173057184376383,0,10,10.0,100.0,,
220,142,15.8049,0.3808716473846983,5.351101090581804,15.70092856430853,0,10,10.0,100.0,,
221,75,15.799900000000003,0.40296757389642773,6.240898308811579,17.19703084411399,0,10,9.0,90.0,1.0,10.0
222,206,15.794500000000003,0.39910137254674405,5.742753670250751,16.33974142721157,0,10,9.0,90.0,1.0,10.0
223,73,15.622400000000004,0.39233835926537536,5.204315128704581,15.32563505744067,0,10,10.0,100.0,,
224,91,15.618400000000005,0.40475900891762223,6.172301114536942,17.302423046489228,0,10,10.0,100.0,,
225,51,15.5143,0.4207707324367188,5.929275293796087,16.857276970737097,0,10,10.0,100.0,,
226,241,15.4743,0.3603183017482037,5.26299576618577,15.511343535448443,0,10,10.0,100.0,,
227,126,15.257499999999999,0.4217430459282919,5.396596841291197,15.676197637659858,0,10,10.0,100.0,,
228,33,15.158599999999996,0.3964909536770714,5.625952948950036,16.168910697931576,0,10,10.0,100.0,,
229,3,14.870499999999998,0.42487714866075416,6.465592861692484,17.90449651763566,0,10,9.0,90.0,1.0,10.0
230,111,14.710799999999997,0.39407390003623444,5.512983505775068,16.01131901462704,0,10,10.0,100.0,,
231,284,14.615199999999998,0.4083606465513395,5.461836036351373,15.712791433709322,0,10,10.0,100.0,,
232,55,14.465799999999998,0.39683418769133905,5.506030075252262,15.944077180675487,0,10,10.0,100.0,,
233,246,14.3826,0.4294166987182296,5.517329025271893,15.943650024725562,0,10,10.0,100.0,,
234,70,14.343200000000001,0.4498325573043405,6.1234246415573566,17.110970793331386,0,10,9.0,90.0,1.0,10.0
235,222,14.140100000000004,0.4243743734669816,5.763832123019993,16.410668201117453,0,10,10.0,100.0,,
236,98,14.1267,0.4139704309250951,5.53794901860408,16.02780958366743,0,10,10.0,100.0,,
237,0,14.0238,0.4336070794431882,6.061104500395257,17.116056165697895,0,10,10.0,100.0,,
238,167,13.956400000000002,0.4200053718153688,6.0772073396590995,16.869648905809036,0,10,10.0,100.0,,
239,224,13.7671,0.4107047924069601,5.3012527425111085,15.587857488099113,0,10,10.0,100.0,,
240,1,13.7173,0.418490118406541,5.747702917554208,16.404397809290185,0,10,10.0,100.0,,
241,115,13.607399999999998,0.4296764025311541,5.434695617457335,15.827212052330015,0,10,9.0,90.0,1.0,10.0
242,225,13.3339,0.4395251306617774,5.776492098850147,16.54683136260768,0,10,10.0,100.0,,
243,191,13.1634,0.4061706534133641,5.217821974874596,15.352648749780702,0,10,10.0,100.0,,
244,15,13.128800000000002,0.43677570807067695,5.728639871350621,16.366271716883013,0,10,10.0,100.0,,
245,35,12.919199999999998,0.43701407781872864,5.587585628195548,16.11417544495522,0,10,10.0,100.0,,
246,131,12.911999999999997,0.43226923131689965,5.514527664902433,15.961072359975825,0,10,10.0,100.0,,
247,166,12.861799999999999,0.4151029844438766,5.252960888477249,15.504648160099418,0,10,10.0,100.0,,
248,32,12.633700000000001,0.4211689734850875,5.385484710875582,15.770918453303642,0,10,10.0,100.0,,
249,56,12.501,0.4526498910935457,5.81050086187247,16.296504542597905,0,10,10.0,100.0,,
250,119,12.4357,0.42918671730023056,5.540143987897322,16.080237007347115,0,10,10.0,100.0,,
251,137,12.376299999999999,0.41596670432100247,5.217877978493627,15.367772987158215,0,10,10.0,100.0,,
252,100,12.1036,0.42751392848828296,5.226155741870441,15.420836601950104,0,10,10.0,100.0,,
253,276,11.6769,0.43903203535759605,5.718334798489723,16.25954299618453,0,10,10.0,100.0,,
254,26,11.4775,0.4643533378310904,5.63761624882028,16.275181529193038,0,10,10.0,100.0,,
255,50,11.104599999999998,0.4567945757213335,5.741701194324224,16.272521749655024,0,10,10.0,100.0,,
