rank,world_id,avg_time,avg_nav_metric,avg_optimal_time,avg_path_length,success_rate,num_episodes,running_count,running_percentage,timeout_count,timeout_percentage,success_count,success_percentage
120,27,15.042299999999994,0.35,9.746173445215101,14.816844071577236,70.0,20,6.0,30.0,,,14.0,70.0
121,275,14.864700000000004,0.35298472063279773,8.302841434323229,11.673665838475497,75.0,20,4.0,20.0,1.0,5.0,15.0,75.0
122,86,14.450199999999995,0.35,8.086051833195288,11.28909971131311,70.0,20,6.0,30.0,,,14.0,70.0
123,184,13.6617,0.46420498391603343,9.12925906315635,13.394396616096023,95.0,20,1.0,5.0,,,19.0,95.0
124,177,13.1625,0.35,9.022924695256084,13.136857416330395,70.0,20,6.0,30.0,,,14.0,70.0
125,297,12.709900000000003,0.4423841161019887,7.826528565435302,10.655552256466828,90.0,20,2.0,10.0,,,18.0,90.0
126,172,12.605400000000001,0.35,8.151308943401997,11.479744487598907,70.0,20,6.0,30.0,,,14.0,70.0
127,251,11.887699999999999,0.46227408629381833,7.812338128453968,10.692659226736971,95.0,20,1.0,5.0,,,19.0,95.0
128,89,11.618099999999995,0.375,8.277057943766923,11.596295070118508,75.0,20,5.0,25.0,,,15.0,75.0
129,81,11.405700000000005,0.45210216036309525,8.068852074309879,11.13775511706728,95.0,20,1.0,5.0,,,19.0,95.0
130,280,11.163,0.45,7.906981912732343,10.832235815819114,90.0,20,2.0,10.0,,,18.0,90.0
131,269,10.812100000000001,0.475,8.393662666578876,11.81401453890706,95.0,20,1.0,5.0,,,19.0,95.0
132,59,10.788700000000002,0.4,8.19537826858136,11.507752582085258,80.0,20,4.0,20.0,,,16.0,80.0
133,236,10.773399999999999,0.375,7.811169146986347,10.690321263801735,75.0,20,5.0,25.0,,,15.0,75.0
134,254,10.6296,0.40901950358509004,7.849673970103881,10.747436393748492,85.0,20,3.0,15.0,,,17.0,85.0
135,287,10.547899999999998,0.475,8.433999179342376,12.078878997678176,95.0,20,1.0,5.0,,,19.0,95.0
136,290,10.351300000000002,0.4410935169728575,7.7310036834212825,10.464502492438788,90.0,20,2.0,10.0,,,18.0,90.0
137,188,10.2758,0.49632578317412424,7.980659785566589,11.172200210126608,100.0,20,,,,,20.0,100.0
138,268,10.275199999999996,0.375,7.825330424845296,10.692840032275246,75.0,20,5.0,25.0,,,15.0,75.0
139,94,10.0782,0.4,7.874110368727348,10.766492727809126,80.0,20,3.0,15.0,1.0,5.0,16.0,80.0
140,198,10.0093,0.4,7.823797529301262,10.708590870038396,80.0,20,4.0,20.0,,,16.0,80.0
